event_number, px, py, pz, E
36 -1.61312 5.94429 -1.71815 6.39444
36 -0.195957 0.918731 -0.273654 0.978444
36 -3.78709 -9.06135 1.95638 10.0139
36 -2.11448 -4.85715 1.11779 5.41409
37 -6.79838 5.57528 2.64671 9.18187
37 -5.82807 4.72697 2.13611 7.80215
37 2.10886 4.26752 -0.468541 4.78315
37 0.0211013 0.0514957 -0.019897 0.0591013
37 -0.874894 3.60339 -0.634562 3.76199
37 -0.317296 1.31765 -0.149568 1.36354
37 -6.95643 5.33084 -0.0381178 8.7642
37 -0.56926 0.389597 -0.0109139 0.6899
37 6.9552 -2.6696 -0.219382 7.45317
37 3.6063 -1.37903 -0.0166324 3.86101
38 -0.197688 -7.85047 -0.650258 7.87983
38 -0.0526957 -2.31811 -0.265478 2.33386
38 10.482 -4.33228 0.86891 11.3753
38 0.341456 -0.161859 0.0445005 0.380487
38 7.44672 -11.9775 -0.524786 14.1135
38 0.63269 -0.945082 -0.0412234 1.13806
38 0.523354 -1.79908 0.580553 1.96154
38 0.203123 -1.04475 0.297435 1.10509
38 -1.30554 1.8511 -0.0532777 2.26581
38 -1.256 1.67216 -0.162888 2.09766
39 14.7626 1.69876 2.90586 15.1415
39 0.202153 0.0391488 0.0385042 0.209478
39 -1.06315 -6.81997 -1.56239 7.07696
39 -0.00258209 -0.0473426 -0.0214224 0.052028
39 -3.57629 -3.82813 -0.00867151 5.23875
39 -2.92436 -3.02929 0.0924777 4.21153
39 -2.61851 3.01346 0.716544 4.05598
39 -2.42358 2.99096 0.69728 3.91226
39 -2.91997 -0.237288 0.126069 2.93231
39 -0.505296 -0.0176569 0.0729683 0.510843
40 3.44832 -1.32432 -0.882397 3.79782
40 1.50124 -0.520367 -0.306598 1.61818
40 0.928901 -5.39147 -1.20999 5.60312
40 0.370163 -2.06999 -0.380811 2.13703
40 5.11938 -18.4123 -1.32038 19.1563
40 0.199218 -0.717109 -0.0781595 0.74836
40 14.7028 -3.83058 2.45106 15.3901
40 1.42943 -0.375465 0.195975 1.49085
40 -0.55458 14.3556 3.13382 14.7041
40 -0.0168816 0.765511 0.138005 0.778035
41 6.3103 2.04783 1.31048 6.76246
41 3.47907 1.21861 0.78279 3.76852
41 -3.58342 2.47115 -1.29675 4.54192
41 -1.41786 0.933387 -0.426928 1.75037
41 -9.54438 -3.52111 2.25776 10.4207
41 -1.16366 -0.478442 0.290767 1.29134
41 3.75833 3.35756 -1.51058 5.26119
41 2.36307 2.2568 -0.979004 3.41111
41 3.42957 -4.36023 0.0639583 5.54776
41 0.246369 -0.374748 0.000320437 0.448479
42 -0.87158 0.708912 -0.334224 1.17214
42 -0.683709 0.696871 -0.226097 1.0021
42 5.67439 -6.14258 0.415558 8.37273
42 1.13837 -1.32064 0.100948 1.74648
42 -0.910568 -8.33652 0.65088 8.41133
42 -0.645104 -6.65257 0.429363 6.69756
42 -9.75645 7.15795 -2.70557 12.3994
